id,name,category,address,link,parse,split,address-from-parse,longitude_raw,latitude_raw,iLvl,image_url
36,飛不動尊,観光,東京都台東区竜泉3-11-11,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都台東区竜泉3-11-11,東京都台東区竜泉3-11-11wgs19845東京都台東区竜泉3-11- 東京都/台東区/竜泉/三丁目/１１番 139.791946 35.724258 7 ,東京都台東区竜泉3-11-11wgs19845東京都台東区竜泉3-11-,東京都/台東区/竜泉/三丁目/１１番,139.791946,35.724258,7,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
,,,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=,wgs19840,wgs19840,,,,,
